GEO_ID,total_workers,workers_using_transit,total_households,mean_income,percent_w_assistance,percent_white,percent_black_or_african_american
53033007900,4207,24.6,3313,99368,12.1,75.7,11.4
53033009200,1518,30.0,1892,47305,40.6,47.4,9.2
53033012000,2128,15.4,1526,117875,9.6,79.6,7.2
53033021100,2401,21.7,1584,84480,19.2,56.2,10.5
53033021904,2797,10.6,1812,121120,12.9,60.8,1.4
53033021905,3249,10.2,2206,104277,5.4,80.0,0.1
53033022701,1632,5.9,1486,148360,0.9,76.4,2.2
53033023201,4202,34.1,2695,107652,10.8,34.3,0.8
53033024200,1221,5.4,1170,288014,1.5,73.1,0.6
53033024300,4291,10.0,3880,148654,7.5,70.4,3.3
53033024602,1486,5.4,1305,293626,0.9,79.2,1.2
53033024800,2855,12.5,2150,97364,4.0,43.3,7.3
53033024903,3326,8.8,2324,217136,3.0,54.0,0.1
53033025003,3357,5.6,2593,203281,4.7,64.7,1.2
53033025200,4762,4.3,3263,123691,16.0,60.4,6.1
53033026100,4092,15.6,2830,80574,22.0,23.5,27.4
53033026700,2338,14.1,1901,118517,14.5,64.4,2.9
53033027300,2719,11.9,1851,61681,30.8,40.8,10.7
53033027600,2513,8.9,1721,95528,18.1,64.8,6.0
53033029405,2924,4.8,1767,99655,8.9,57.7,6.4
53033029602,3292,10.2,1979,125153,6.6,67.2,4.2
53033029901,2318,9.4,1581,90663,11.2,73.4,8.9
53033030306,2844,4.2,1915,110149,12.7,66.1,9.4
53033030308,3433,8.7,2273,87213,11.8,54.7,9.3
53033030309,3386,4.8,2455,89021,17.4,53.6,21.3
53033005000,2874,27.5,2061,101856,7.5,84.8,1.5
53033005302,908,24.1,127,16198,13.4,47.8,2.1
53033006800,1891,15.0,1389,181462,3.4,85.9,0.0
53033007100,3449,28.5,2883,102007,2.7,70.6,3.3
53033007200,6802,17.6,5974,125167,8.6,62.5,5.4
53033008500,1130,21.2,1928,70396,25.1,54.8,16.0
53033008700,3182,25.1,1899,98452,16.4,57.3,18.9
53033010300,3513,21.1,2793,77762,25.5,43.5,29.8
53033010600,4821,14.3,3744,116843,7.5,80.0,3.0
53033012100,1421,6.6,1176,145853,2.9,79.3,3.7
53033032006,2483,2.6,1985,106718,6.7,87.8,0.7
53033032104,3145,6.4,2446,115574,9.9,78.1,7.0
53033032317,3190,5.4,2153,176523,5.1,85.7,0.4
53033032325,3183,13.5,2232,129370,6.8,55.3,6.6
53033032309,4501,19.9,3724,130685,2.2,54.8,1.5
53033031704,2678,8.8,1721,104758,13.1,55.0,7.5
53033032313,3578,6.6,2458,117072,3.5,47.7,1.6
53033032319,3014,5.3,2642,96478,5.8,85.5,1.3
53033032321,2871,3.0,1872,245747,0.6,61.9,0.4
53033010401,2135,20.3,1493,79986,15.1,20.5,16.8
53033010701,1853,22.2,1478,79387,28.8,46.2,32.3
53033011001,1530,17.8,1666,51520,44.4,17.3,34.3
53033025301,3924,7.3,3026,93321,5.3,57.4,7.5
53033025601,3008,5.9,1998,91462,8.5,37.9,4.7
53033025805,2771,8.5,1928,74248,12.9,44.6,9.3
53033029205,2773,8.5,2129,68437,12.4,50.2,12.3
53033030005,2734,8.1,1864,64206,23.0,45.7,9.1
53033001702,2813,29.6,2274,80592,12.7,79.2,1.5
53033004302,1616,28.0,1511,39919,12.1,57.4,2.9
53033004301,1831,24.8,1450,118571,6.8,73.7,1.5
53033007402,4133,23.3,3529,70795,14.1,70.7,6.7
53033010002,2886,31.3,1859,83681,14.6,50.1,5.4
53033010001,2072,26.9,1539,87575,20.5,39.3,29.0
53033011002,2230,28.8,1349,74247,33.1,8.7,35.3
53033010402,2827,18.7,1730,85963,11.4,31.6,8.4
53033010702,1713,18.9,1547,65650,43.6,32.9,38.5
53033011402,2314,23.6,1993,61170,26.0,53.6,10.4
53033031705,2220,2.3,1400,119757,4.8,71.5,5.9
53033032010,2610,5.0,2077,116901,4.4,87.2,1.1
53033032213,2308,5.0,1503,195819,1.3,76.7,0.0
53033032214,3014,8.4,2056,201284,1.8,57.5,0.7
53033011401,2403,22.9,1741,70767,16.7,50.2,19.5
53033025302,2371,11.2,2711,67669,19.7,50.6,16.8
53033025806,2513,11.2,1733,96201,10.6,35.9,17.3
53033032326,1879,7.1,1421,216958,4.4,83.3,0.8
53033032327,1277,3.7,1978,152898,0.9,89.6,1.0
53033023404,1922,4.0,1174,175012,3.4,86.2,0.5
53033023403,1883,6.4,1589,153838,1.1,69.8,0.4
53033023804,4367,10.8,4102,151437,4.8,53.6,4.5
